,Addendum A.- OPPS APCs for CY 2025,,,,,,,,,,
,Inflation-adjusted 3-digit coinsurance percentage may not precisely reflect the copayment amount due to rounding calculations.,,,,,,,,,,
APC,Group Title,SI,Relative Weight,Payment Rate,National Unadjusted Copayment,Minimum Unadjusted Copayment,IRA Coinsurance percentage,Adjusted Beneficiary Copayment,Drug and Device Pass-Through Expiration during Calendar Year,Note,
0701,Sr89 strontium,K,,"$4,146.335",.,$829.27,,$829.27,,,
0702,"Inj, human-lans, per i.u",G,,$1.801,.,$0.37,,$0.37,,,
0703,Inj daxibotulinumtoxina-lanm,G,,$3.127,.,$0.63,,$0.63,,,
0704,"Inj, aflibercept hd, 1 mg",G,,$329.056,.,$65.82,,$65.82,,,
0705,Inj avacincaptad pegol 0.1mg,G,,$108.704,.,$21.75,,$21.75,,,
0706,Inj talquetamab-tgvs 0.25 mg,G,,$69.972,.,$14.00,19.787%,$13.85,,Inflation-adjusted coinsurance,
0707,"Cantharidin top, applicator",G,,$711.753,.,$142.36,,$142.36,,,
0708,"Inj, elranatamab-bcmm, 1 mg",G,,$177.647,.,$35.53,,$35.53,,,
0709,Flortaucipir inj 1 millicuri,G,,"$3,710.000",.,$0.00,,$0.00,,,
0710,Inj velmanase alfa-tycv 1 mg,G,,$440.808,.,$88.17,,$88.17,,,
0711,"Inj, artesunate, 1mg",K,,$51.829,.,$10.37,,$10.37,,,
0713,Inj roctavian ml 2x10^13vc g,G,,"$11,667.969",.,"$2,333.60",,"$1,676.00",,"Copayments capped at inpatient deductible of $1,676.00.",
0714,Inj delandistrogene mox rokl,G,,"$3,321,781.505",.,"$664,356.31",,"$1,676.00",,"Copayments capped at inpatient deductible of $1,676.00.",
0715,Pegunigalsidase alfa-iwxj,G,,$226.793,.,$45.36,19.758%,$44.81,,Inflation-adjusted coinsurance,
0716,"Vyjuvek 5x10^9pfu/ml, 0.1 ml",G,,"$1,016.784",.,$203.36,,$203.36,,,
0717,"Instill adstiladrin, tx dose",G,,"$63,402.043",.,"$12,680.41",,"$1,676.00",,"Copayments capped at inpatient deductible of $1,676.00.",
0718,"Inj, carmustine (accord)",K,,$0.051,.,$0.02,,$0.02,,,
0720,"Inj glofitamab gxbm, 2.5 mg",G,,"$2,770.911",.,$554.19,,$554.19,,,
0721,Inj ronzanolixizum-noli 1 mg,G,,$22.821,.,$4.57,,$4.57,,,
0722,"Dexmedetomidine film, 1 mcg",K,,$0.652,.,$0.14,,$0.14,,,
0723,Inj efgart-alfa 2mg hya-qvfc,K,,$33.101,.,$6.63,,$6.63,,,
0725,Inj secukinumab intrav 1mg,G,,$17.720,.,$3.55,,$3.55,,,
0726,Dexrazoxane HCl injection,K,,$80.875,.,$16.18,,$16.18,,,
0727,"Inj, adzynma, 10 iu",G,,$34.571,.,$6.92,,$6.92,,,
0728,"Inj, mirikizumab-mrkz, 1 mg",G,,$45.393,.,$9.08,,$9.08,,,
0729,"Inj, motixafortide, 0.25 mg",G,,$25.218,.,$5.05,,$5.05,,,
0730,Inj melphalan (hepzato) 1 mg,G,,$773.800,.,$154.76,,$154.76,,,
0731,Sargramostim injection,K,,$60.018,.,$12.01,19.839%,$11.91,,Inflation-Adjusted Coinsurance,
0732,"Inj, brixadi, 7 days or less",G,,$428.656,.,$85.74,19.275%,$82.63,,Inflation-adjusted coinsurance,
0733,"Inj brixadi, more than 7 day",G,,"$1,714.625",.,$342.93,19.275%,$330.50,,Inflation-adjusted coinsurance,
0734,"Inj, levothyroxine, freskabi",K,,$3.818,.,$0.77,,$0.77,,,
0735,"Inj, levothyroxine, hikma",K,,$5.136,.,$1.03,,$1.03,,,
0736,Amphotericin b liposome inj,K,,$23.975,.,$4.80,,$4.80,,,
0737,"Inj, cipaglucosidase, 5 mg",G,,$89.377,.,$17.88,,$17.88,,,
0738,Rasburicase,K,,$369.967,.,$74.00,,$74.00,,,
0739,"Inj, rykindo, 0.5 mg",K,,$13.029,.,$2.61,,$2.61,,,
0740,Inj hydroxocobalamin iv 25mg,K,,$5.184,.,$1.04,,$1.04,,,
0741,Inj cyclophosphamd (ingenus),K,,$2.188,.,$0.44,17.035%,$0.38,,Inflation-adjusted coinsurance,
0742,Anacaulase-bcdb 8.8% gel 1 g,G,,$56.993,.,$11.40,,$11.40,,,
0743,"Inj, cyclophosphamide, nos",K,,$0.876,.,$0.18,,$0.18,,,
0744,Inst tauro 1.35mg/hep 100u,G,,$8.656,.,$1.74,,$1.74,,,
0745,"Inj, toripalimab-tpzi, 1 mg",G,,$39.318,.,$7.87,,$7.87,,,
0746,"Inj, betibeglogene autotemce",G,,"$2,968,000.000",.,"$593,600.00",,"$1,676.00",,"Copayments capped at inpatient deductible of $1,676.00.",
