zip1,zip2,miles_to_zcta5
00601,00602,30.6093098
00602,00601,30.6093098
00601,00603,31.1542774
00603,00601,31.1542774
00601,00606,12.1092628
00606,00601,12.1092628
00601,00610,25.8677809
00610,00601,25.8677809
00601,00611,7.6072698
00611,00601,7.6072698
00601,00612,16.6426462
00612,00601,16.6426462
00601,00616,17.3436975
00616,00601,17.3436975
00601,00617,22.1812607
00617,00601,22.1812607
00601,00622,30.0562928
00622,00601,30.0562928
00601,00623,27.6533870
00623,00601,27.6533870
00601,00624,9.0869511
00624,00601,9.0869511
00601,00627,17.6730634
00627,00601,17.6730634
00601,00631,5.3125064
00631,00601,5.3125064
00601,00636,21.7041810
00636,00601,21.7041810
00601,00637,14.7386754
00637,00601,14.7386754
00601,00638,16.9995717
00638,00601,16.9995717
00601,00641,6.8236541
00641,00601,6.8236541
00601,00646,35.0461579
00646,00601,35.0461579
00601,00647,19.8091242
00647,00601,19.8091242
00601,00650,16.2149466
00650,00601,16.2149466
00601,00652,21.1448876
00652,00601,21.1448876
00601,00653,16.5872948
00653,00601,16.5872948
00601,00656,10.0244540
00656,00601,10.0244540
00601,00659,16.1384162
00659,00601,16.1384162
00601,00660,24.2524150
00660,00601,24.2524150
00601,00662,26.4419403
00662,00601,26.4419403
00601,00664,10.5951799
00664,00601,10.5951799
00601,00667,22.4107573
00667,00601,22.4107573
00601,00669,10.2940541
00669,00601,10.2940541
00601,00670,16.0208625
00670,00601,16.0208625
00601,00674,24.0581812
00674,00601,24.0581812
00601,00676,25.7740293
00676,00601,25.7740293
00601,00677,33.0176578
00677,00601,33.0176578
00601,00678,20.9395292
00678,00601,20.9395292
00601,00680,25.1484126
00680,00601,25.1484126
00601,00682,26.6884345
00682,00601,26.6884345
00601,00683,19.5219284
00683,00601,19.5219284
00601,00685,18.1853929
00685,00601,18.1853929
00601,00687,23.6194547
00687,00601,23.6194547
00601,00688,16.1255290
00688,00601,16.1255290
00601,00690,31.3918100
00690,00601,31.3918100
00601,00692,31.4561138
00692,00601,31.4561138
00601,00693,28.6401077
00693,00601,28.6401077
00601,00694,31.4187307
00694,00601,31.4187307
00601,00698,9.9747464
00698,00601,9.9747464
00601,00703,40.9148429
00703,00601,40.9148429
00601,00704,37.0966703
00704,00601,37.0966703
00601,00705,31.9281582
00705,00601,31.9281582
00601,00707,55.6604403
00707,00601,55.6604403
00601,00714,47.3608911
00714,00601,47.3608911
00601,00715,17.8388652
00715,00601,17.8388652
00601,00716,16.4635614
00716,00601,16.4635614
00601,00717,15.3070013
00717,00601,15.3070013
00601,00718,65.3324424
00718,00601,65.3324424
00601,00719,33.4481710
00719,00601,33.4481710
00601,00720,21.5604720
00720,00601,21.5604720
00601,00723,50.3778217
00723,00601,50.3778217
00601,00725,46.7093362
00725,00601,46.7093362
00601,00727,44.4640431
00727,00601,44.4640431
00601,00728,14.2845737
00728,00601,14.2845737
00601,00729,57.6138266
00729,00601,57.6138266
00601,00730,13.7520165
00730,00601,13.7520165
00601,00731,8.9531173
00731,00601,8.9531173
00601,00735,71.3370307
00735,00601,71.3370307
00601,00736,39.6411085
00736,00601,39.6411085
00601,00738,69.5129154
00738,00601,69.5129154
00601,00739,38.5915886
00739,00601,38.5915886
00601,00740,74.1380959
00740,00601,74.1380959
00601,00741,65.3894731
00741,00601,65.3894731
00601,00745,62.7421817
00745,00601,62.7421817
00601,00751,34.2410232
00751,00601,34.2410232
00601,00754,51.1176545
00754,00601,51.1176545
00601,00757,26.3068197
00757,00601,26.3068197
00601,00765,87.2034300
00765,00601,87.2034300
00601,00766,18.5553962
00766,00601,18.5553962
00601,00767,56.5960566
00767,00601,56.5960566
00601,00769,26.3596587
00769,00601,26.3596587
00601,00771,57.6868836
00771,00601,57.6868836
00601,00772,58.2160236
00772,00601,58.2160236
00601,00773,68.3024789
00773,00601,68.3024789
00601,00775,95.1678946
00775,00601,95.1678946
00601,00777,55.2744027
00777,00601,55.2744027
00601,00778,50.9568740
00778,00601,50.9568740
00601,00780,13.4889127
00780,00601,13.4889127
00601,00782,34.6259100
00782,00601,34.6259100
00601,00783,28.8395311
00783,00601,28.8395311
00601,00784,42.1457745
00784,00601,42.1457745
00601,00786,34.3621308
00786,00601,34.3621308
00601,00791,61.5808129
00791,00601,61.5808129
00601,00794,28.9576135
00794,00601,28.9576135
00601,00795,19.1278356
00795,00601,19.1278356
00601,00901,46.5147895
00901,00601,46.5147895
00601,00906,47.2260872
00906,00601,47.2260872
00601,00907,47.3272921
00907,00601,47.3272921
00601,00909,48.1766650
00909,00601,48.1766650
00601,00911,49.2542661
00911,00601,49.2542661
00601,00912,48.8117462
00912,00601,48.8117462
00601,00913,50.2567867
00913,00601,50.2567867
00601,00915,49.4901965
00915,00601,49.4901965
00601,00917,48.8154265
00917,00601,48.8154265
00601,00918,47.6844130
00918,00601,47.6844130
00601,00920,46.2753227
00920,00601,46.2753227
00601,00921,45.8762697
00921,00601,45.8762697
00601,00923,49.3800052
00923,00601,49.3800052
00601,00924,50.6779861
00924,00601,50.6779861
00601,00925,48.3268591
00925,00601,48.3268591
00601,00926,47.1212010
00926,00601,47.1212010
00601,00927,46.8570794
00927,00601,46.8570794
00601,00934,44.3471069
00934,00601,44.3471069
00601,00949,37.7626694
00949,00601,37.7626694
00601,00950,38.9898822
00950,00601,38.9898822
00601,00951,36.4193549
00951,00601,36.4193549
00601,00952,40.6005094
00952,00601,40.6005094
00601,00953,34.9916337
00953,00601,34.9916337
00601,00956,39.2490539
00956,00601,39.2490539
00601,00957,38.9764245
00957,00601,38.9764245
00601,00959,41.4882109
00959,00601,41.4882109
00601,00960,43.0540092
00960,00601,43.0540092
00601,00961,41.6165529
00961,00601,41.6165529
00601,00962,44.1118059
00962,00601,44.1118059
00601,00965,45.3374281
00965,00601,45.3374281
00601,00966,44.3447607
00966,00601,44.3447607
00601,00968,45.3201934
00968,00601,45.3201934
00601,00969,43.9003749
00969,00601,43.9003749
00601,00971,42.4791154
00971,00601,42.4791154
00601,00976,50.7477885
00976,00601,50.7477885
00601,00979,52.3707800
00979,00601,52.3707800
00601,00982,52.2082158
00982,00601,52.2082158
00601,00983,53.0077541
00983,00601,53.0077541
00601,00985,54.9658326
00985,00601,54.9658326
00601,00987,54.0896993
00987,00601,54.0896993
00602,00603,7.3863179
00603,00602,7.3863179
00602,00606,21.2474332
00606,00602,21.2474332
00602,00610,5.6688328
00610,00602,5.6688328
00602,00611,24.8798073
00611,00602,24.8798073
00602,00612,31.4056030
00612,00602,31.4056030
00602,00616,33.2651288
00616,00602,33.2651288
00602,00617,40.7078047
00617,00602,40.7078047
00602,00622,25.8493895
00622,00602,25.8493895
00602,00623,19.2103235
00623,00602,19.2103235
00602,00624,36.6966678
00624,00602,36.6966678
00602,00627,20.7445873
00627,00602,20.7445873
00602,00631,25.7376490
00631,00602,25.7376490
00602,00636,15.0689138
00636,00602,15.0689138
00602,00637,24.5433277
00637,00602,24.5433277
00602,00638,43.8187738
00638,00602,43.8187738
00602,00641,31.7484678
00641,00602,31.7484678
00602,00646,58.4968229
00646,00602,58.4968229
00602,00647,31.3439494
00647,00602,31.3439494
00602,00650,39.1917208
